"DeviceId","SystemName","OrganizationId","CollectedUtc","LocalGroup","MemberName","MemberType","PrincipalSource"
"353","ML1HWHYPERV01","54","9/14/2026 10:48:27 PM","Administrators","ML1HWHYPERV01\InEight","User","ADSI fallback - see LocalGroupResilientFallback in Errors"
"353","ML1HWHYPERV01","54","9/14/2026 10:48:27 PM","Administrators","HARDDOLLAR\Domain Admins","Group","ADSI fallback - see LocalGroupResilientFallback in Errors"
"353","ML1HWHYPERV01","54","9/14/2026 10:48:27 PM","Administrators","S-1-5-21-3931559087-14600624-1992188608-27210","User","ADSI fallback - see LocalGroupResilientFallback in Errors"
"353","ML1HWHYPERV01","54","9/14/2026 10:48:27 PM","Administrators","HARDDOLLAR\Service.Now","User","ADSI fallback - see LocalGroupResilientFallback in Errors"
"353","ML1HWHYPERV01","54","9/14/2026 10:48:27 PM","Administrators","S-1-5-21-448539723-2111687655-1957994488-512","User","ADSI fallback - see LocalGroupResilientFallback in Errors"
"353","ML1HWHYPERV01","54","9/14/2026 10:48:27 PM","Administrators","S-1-5-21-3931559087-14600624-1992188608-24091","User","ADSI fallback - see LocalGroupResilientFallback in Errors"
"353","ML1HWHYPERV01","54","9/14/2026 10:48:27 PM","Administrators","HARDDOLLAR\ML1HWHYPERV01$","User","ADSI fallback - see LocalGroupResilientFallback in Errors"
"353","ML1HWHYPERV01","54","9/14/2026 10:48:27 PM","Administrators","HARDDOLLAR\SVC.Veeam","User","ADSI fallback - see LocalGroupResilientFallback in Errors"
"353","ML1HWHYPERV01","54","9/14/2026 10:48:27 PM","Administrators","S-1-5-21-3931559087-14600624-1992188608-23171","User","ADSI fallback - see LocalGroupResilientFallback in Errors"
"353","ML1HWHYPERV01","54","9/14/2026 10:48:27 PM","Remote Management Users","HARDDOLLAR\ML1hwCluster1$","User","ActiveDirectory"
"359","PX1HWHYPERV03","54","9/14/2026 10:48:27 PM","Administrators","PX1HWHYPERV03\InEight","User","ADSI fallback - see LocalGroupResilientFallback in Errors"
"359","PX1HWHYPERV03","54","9/14/2026 10:48:27 PM","Administrators","HARDDOLLAR\Domain Admins","Group","ADSI fallback - see LocalGroupResilientFallback in Errors"
"359","PX1HWHYPERV03","54","9/14/2026 10:48:27 PM","Administrators","S-1-5-21-3931559087-14600624-1992188608-27210","User","ADSI fallback - see LocalGroupResilientFallback in Errors"
"359","PX1HWHYPERV03","54","9/14/2026 10:48:27 PM","Administrators","S-1-5-21-3931559087-14600624-1992188608-23171","User","ADSI fallback - see LocalGroupResilientFallback in Errors"
